sample-1,,sample -2,,sample-3,,sample-4,
var,logFC,var,logFC,var,logFC,var,logFC
hsa-miR-6793-5p,-0.010046553,hsa-miR-4433a-3p,0.023688126,hsa-let-7b-3p,0.027225395,hsa-miR-4483,0.00960644
hsa-miR-1208,-0.009428188,hsa-miR-6088,0.035986778,hsa-miR-1267,0.022302651,hsa-miR-4644,-0.013239422
hsa-miR-5189-3p,-0.018067271,hsa-miR-3922-3p,0.007392135,hsa-miR-8485,0.083194636,hsa-miR-4428,0.050708937
hsa-miR-6867-3p,-0.008956108,hsa-miR-2392,0.015061748,hsa-miR-3940-3p,0.019463174,hsa-miR-6851-5p,0.00928631
hsa-miR-6778-3p,-0.010268418,hsa-miR-4418,0.00638291,hsa-miR-6865-3p,0.033048756,hsa-miR-4726-5p,-0.010412373
hsa-miR-3149,-0.025775033,hsa-miR-4739,0.040728604,hsa-miR-6827-3p,0.014048149,hsa-miR-6753-3p,0.011154808
hsa-miR-449c-3p,-0.012783313,hsa-miR-122-5p,0.01295497,hsa-miR-4515,0.027132729,hsa-miR-515-3p,0.00834739
hsa-miR-6743-5p,-0.010556354,hsa-miR-6722-3p,0.007905726,hsa-miR-574-5p,0.107926238,hsa-miR-1228-3p,0.024677539
hsa-miR-4440,-0.015650716,hsa-miR-1207-5p,0.023067397,hsa-miR-4481,0.018227517,hsa-miR-4314,-0.009531445
hsa-miR-6795-3p,0.011643851,hsa-miR-3195,0.012794886,hsa-miR-3646,0.024721698,hsa-miR-4650-5p,0.008531342
hsa-miR-6832-3p,-0.008236741,hsa-miR-6866-3p,-0.006165829,hsa-miR-6855-3p,0.019333222,hsa-miR-4732-5p,-0.047730103
hsa-miR-3622a-5p,-0.008607504,hsa-miR-3960,0.040085364,hsa-miR-3151-3p,0.02340797,hsa-miR-5003-3p,-0.009746748
hsa-miR-6076,0.011635509,hsa-miR-7110-5p,0.019559519,hsa-miR-149-5p,0.027149382,hsa-miR-6880-5p,-0.010156209
hsa-miR-4739,-0.045350215,hsa-miR-6839-5p,-0.006885378,hsa-miR-4534,1.87E-02,hsa-miR-520f-3p,-0.008651212
hsa-miR-8485,-0.054648786,hsa-miR-129-1-3p,0.009516882,hsa-miR-744-3p,-0.011907218,hsa-miR-3200-3p,-0.031043949
hsa-miR-486-5p,-0.084469556,hsa-miR-6891-5p,0.016719031,hsa-miR-1227-3p,0.014430629,hsa-miR-4500,-0.022975109
hsa-miR-6499-3p,-0.008281942,hsa-miR-4326,0.006995377,hsa-miR-4664-3p,0.027682609,hsa-miR-6722-3p,0.009614407
hsa-miR-3960,-0.047412435,hsa-miR-19b-3p,-0.093478432,hsa-miR-3132,-0.014411505,hsa-miR-3925-3p,-0.008046007
hsa-miR-6846-5p,-0.008737362,hsa-miR-4463,0.014374943,hsa-miR-4313,0.039967334,hsa-miR-1273h-5p,-0.00939831
hsa-miR-937-3p,-0.008719256,hsa-miR-3651,0.033160799,hsa-miR-1281,0.033706151,hsa-miR-483-3p,-0.013854186
hsa-miR-4726-5p,-0.009045008,hsa-miR-6794-5p,0.011867155,hsa-miR-299-5p,0.011781712,hsa-miR-3180-5p,0.013559959
hsa-miR-515-3p,0.007742569,hsa-miR-6876-5p,-0.007353423,hsa-miR-4451,0.012229373,hsa-miR-3917,-0.010667826
hsa-let-7b-5p,-0.093607638,hsa-miR-125a-5p,0.027513423,hsa-miR-654-5p,0.011491546,hsa-miR-3620-3p,0.012865689
hsa-miR-5700,-0.008614002,hsa-miR-6774-5p,0.007184536,hsa-miR-6794-3p,0.015631757,hsa-miR-6509-3p,0.008383727
